"","timestamp","source","destination","databytes"
"5414",77.672464,5,57,43
"5415",77.67832,2,37,212
"5416",77.680272,5,249,39
"5417",77.683201,131,8,42
"5418",77.685154,5,353,43
"5419",77.688081,75,5,76
"5420",77.691985,43,2,79
"5421",77.72712,5,259,41
"5422",77.740784,5,259,31
"5423",77.742736,88,5,36
"5424",77.747616,133,8,40
"5425",77.759328,82,5,41
"5426",77.77397,8,116,87
"5427",77.798369,8,42,31
"5428",77.813008,5,259,220
"5429",77.81984,8,122,44
"5430",77.8296,2,37,212
"5431",77.880352,5,249,42
"5432",77.919392,17,403,97
"5433",77.922321,8,83,42
"5434",77.964291,8,116,37
"5435",77.973072,61,5,42
"5436",77.986736,2,37,212
"5437",78.014642,5,249,177
"5438",78.02928,417,80,78
"5439",78.03416,80,417,27
"5440",78.049776,8,112,42
"5441",78.111264,8,347,48
"5442",78.155184,2,37,212
"5443",78.187392,76,8,42
"5444",78.193248,8,347,43
"5445",78.219601,417,80,33
"5446",78.223505,80,417,41
"5447",78.250833,5,259,49
"5448",78.281088,76,5,222
"5449",78.282064,8,122,65
"5450",78.288896,5,353,40
"5451",78.290849,42,8,49
"5452",78.30256,8,347,42
"5453",78.315249,2,261,125
"5454",78.330865,2,37,212
"5455",78.357217,29,30,60
"5456",78.376737,8,401,42
"5457",78.397232,5,353,119
"5458",78.401137,5,249,36
"5459",78.413824,131,8,42
"5460",78.487025,403,17,24
"5461",78.493856,88,5,36
"5462",78.497761,17,403,50
"5463",78.50264,8,401,193
"5464",78.506546,8,116,41
"5465",78.508498,29,30,60
"5466",78.518256,2,37,212
"5467",78.526066,410,8,119
"5468",78.530945,8,61,39
"5469",78.540705,8,5,119
"5470",78.568032,8,122,43
"5471",78.582672,195,63,92
"5472",78.60512,5,62,47
"5473",78.607072,326,2,28
"5474",78.609024,2,326,30
"5475",78.610976,8,401,44
"5476",78.618784,417,80,28
"5477",78.621712,80,417,27
"5478",78.62952,75,5,46
"5479",78.638304,8,120,35
"5480",78.638305,29,30,60
"5481",78.660753,2,37,212
"5482",78.679296,57,5,42
"5483",78.691985,43,2,23
"5484",78.77104,417,80,39
"5485",78.8052,5,249,34
"5486",78.817888,2,37,212
"5487",78.818865,5,249,87
"5488",78.851074,2,326,55
"5489",78.856928,2,326,105
"5490",78.870592,5,146,36
"5491",78.908657,29,30,60
"5492",78.935008,8,401,34
"5493",78.937937,5,8,53
"5494",78.959409,2,326,24
"5495",78.960385,2,37,212
"5496",79.000976,61,5,42
"5497",79.020496,5,78,47
"5498",79.071248,5,249,53
"5499",79.073203,8,401,59
"5500",79.114193,2,37,212
